X,Y,name,type,description,gx_media_links
-118.2448644,34.0432561,545 San Pedro St,LAHSA Handwashing Station,,
-118.434226,34.035203,Sepulveda and Exposition,LAHSA Handwashing Station,,
-118.245199,34.044529,501 San Julian St,LAHSA Handwashing Station,,
-118.251795,34.048779,South Hill Street & West 5th Street,LAHSA Handwashing Station,"3/31/2020: ""The station was right by a Pit Stop shower, which was actively being serviced. They offered their soap to me.""",
-118.291761,34.090882,North Vermont Avenue & Santa Monica Boulevard,LAHSA Handwashing Station,,
-118.247581,34.04606,East 5th Street & South Los Angeles Street,LAHSA Handwashing Station,,
-118.435158,34.03704,Sepulveda and Pico,LAHSA Handwashing Station,,
-118.268168,34.046598,Olympic and 110,LAHSA Handwashing Station,,
-118.424231,34.057572,NW corner of Beverly Glen and Santa Monica Blvd,LAHSA Handwashing Station,,
-118.602547,34.243178,21701 Plummer St,LAHSA Handwashing Station,3 Stations across the street from this address,
-118.240063,34.055834,North Main Street & Arcadia Street,LAHSA Handwashing Station,"3/24/2020: ""both are empty of water. Residents say they’ve been empty for days. Meanwhile the restrooms at grand park are now locked up 24/7 leaving the first street encampment with nowhere to wash. They do not have a hand wash station either.""",
-118.275877,34.049043,Beacon Avenue (Olympic and 11th),LAHSA Handwashing Station,Between Olympic Blvd and 11st,
-118.271056,34.055747,Wilshire Boulevard,LAHSA Handwashing Station,Between Union Ave and Little St,
-118.603981,34.235464,Jordan Avenue & Nordhoff Street,LAHSA Handwashing Station,3 Handwashing stations will be posted on the NorthWest Corner of this intersection,
-118.446486,34.047016,Santa Monica Blvd under 405,LAHSA Handwashing Station,3/26/2020: No station present,
-118.431085,34.031472,The underpass at Sepulveda and the 10,LAHSA Handwashing Station,,
-118.275078,34.054694,Bonnie Brae Ave,LAHSA Handwashing Station,Between 7th and Wilshire Blvd,
-118.211545,34.064234,Alhambra Avenue ,LAHSA Handwashing Station,Underpass between Johnston St and Sichel St,
-118.249031,34.029499,East 14th Street & Paloma Street,LAHSA Handwashing Station,,
-118.247898,34.043927,245 E 6th St,LAHSA Handwashing Station,,
-118.272838,34.053637,Beacon Avenue (Between 7th and 8th St),LAHSA Handwashing Station,,
-118.240001,34.039009,East 6th Street & South Central Avenue,LAHSA Handwashing Station,,
-118.241137,34.041752,519 Gladys Ave,LAHSA Handwashing Station,,
-118.446918,34.056582,Veteran Ave (Between Wilshire Blvd and Rochester Ave),LAHSA Handwashing Station,,
-118.24045,34.046275,307 Crocker St,LAHSA Handwashing Station,,
-118.436723,34.049705,Santa Monica and Westwood,LAHSA Handwashing Station,,
-118.2748,34.048319,South Union Avenue & West 11th Street,LAHSA Handwashing Station,Between Pico Blvd and 11th St,
-118.243622,34.041244,East 6th Street & Towne Avenue,LAHSA Handwashing Station,,
-118.445643,34.055299,Veteran Avenue & Rochester Avenue,LAHSA Handwashing Station,,
-118.536074,34.201086,Sherman Way & Reseda Boulevard,LAHSA Handwashing Station,,
-118.536078,34.208401,Saticoy Street & Reseda Boulevard,LAHSA Handwashing Station,,
-118.417986,34.033289,Palms Park parking lot ,LAHSA Handwashing Station,,
-118.247135,34.038709,750 Crocker St,LAHSA Handwashing Station,,
-118.428436,34.040126,Westwood and Pico,LAHSA Handwashing Station,,
-118.258176,34.05573,West 4th Street,LAHSA Handwashing Station,,
-118.216987,34.075458,S Avenue 24,LAHSA Handwashing Station,Between Pasadena Avenue and S. Ave 23,
-118.223972,34.084007,Huron Street (At End of Dead End),LAHSA Handwashing Station,,
-118.362714,34.076153,Beverly/Hayworth (NW),LAHSA Handwashing Station,"3/22/2020 - 1 station; water worked; low on soap; one resident said he stays here but had left and came back, and station was there when he returned; said it worked the one time he used it; took photo",
-118.27633,34.057214,South Alvarado Street,LAHSA Handwashing Station,Between Wilshire Blvd and 7th St next to existing mobile pit stop,
-118.544743,34.173564,Wilbur ave & 101 Fwy Underpass,LAHSA Handwashing Station,,
-118.274541,34.040729,Oak Street,LAHSA Handwashing Station,Between Venice Boulevard & 14th St),
-118.403148,34.248259,San Fernando Road and Branford (Tujunga Wash),LAHSA Handwashing Station,,
-118.282965,34.053323,West 10th Street & South Park View Street,LAHSA Handwashing Station,Between Park view and Dead End,
-118.453058,34.180946,6101 Cedros Ave (Bessemer and Cedros),LAHSA Handwashing Station,3/24/2020: Station is missing,
-118.369131,33.944609,Irwin Avenue & West 101st Street,LAHSA Handwashing Station,,
-118.28388,34.054568,San Marino Street,LAHSA Handwashing Station,Between Carondelet St & South Hoover Street,
-118.174409,33.93069,Imperial Highway and Los Angeles River,LAHSA Handwashing Station,,
-118.271807,34.044293,West 12th Street ,LAHSA Handwashing Station,Between LA Live Way & Blaine Street (freeway underpass),
-118.449395,34.045057,West Los Angeles Municipal Building,LAHSA Handwashing Station,,
-118.445759,34.180104,14320 W Aetna St (Tyrone and Aetna),LAHSA Handwashing Station,,
-118.267681,34.04963,West 8th Street & Garland Avenue,LAHSA Handwashing Station,Between Georgia and Garland Underpass,
-118.575107,34.238347,9201 Winnetka Ave (Train tracks next to movie theater),LAHSA Handwashing Station,3/22/2020: Station is missing,
-118.260562,34.052132,South Beaudry Avenue,LAHSA Handwashing Station,Between West 6th Street & Wilshire Blvd,
-118.535966,34.228297,Parthenia St and Reseda Blvd,LAHSA Handwashing Station,,
-118.281376,34.042588,Venice Boulevard,LAHSA Handwashing Station,Between Bonnie Brae & South Burlington Avenue,
-118.278311,34.054122,South Alvarado Street,LAHSA Handwashing Station,3/24/2020: Between 8th St & James M Wood Boulevard; no station; 3/26/2020: https://twitter.com/shoton35mm/status/1243425909715025924?s=21,
-118.501073,34.186618,Balboa Blvd and Victory Blvd,LAHSA Handwashing Station,,
-118.273239,34.062079,South Alvarado Street and Maryland,LAHSA Handwashing Station,"<img src=""https://doc-04-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/h3g2stf29me0jsnv3l08voe698/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vapf0Is6fJOwnOIAHrjGCQeiWYHOwQ95Sy9-tUETaVUFDi8Ce8NK-0bka3Xjvybl3-RjK5bIfJypD8bIQ2BCCZWWt7XsIPS6qGTF5YvAw2hhoPy9LstbaulXxoCfe6zkUb-anwRjI1nMsUYeUpQZU3xNxiO045XfcqhNQFBf_sU9NN-ogaD72wVW77JeAIsveA?session=0&fife"" height=""200"" width=""auto"" /><br><br>3/25/2020: water, but no soap -  https://twitter.com/ShotOn35mm/status/1242942190138961920<br>3/24/2020 soap, but no water",https://doc-04-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/h3g2stf29me0jsnv3l08voe698/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vapf0Is6fJOwnOIAHrjGCQeiWYHOwQ95Sy9-tUETaVUFDi8Ce8NK-0bka3Xjvybl3-RjK5bIfJypD8bIQ2BCCZWWt7XsIPS6qGTF5YvAw2hhoPy9LstbaulXxoCfe6zkUb-anwRjI1nMsUYeUpQZU3xNxiO045XfcqhNQFBf_sU9NN-ogaD72wVW77JeAIsveA?session=0&fife
-118.475857,34.171691,Woodley Ave and Burbank Blvd,LAHSA Handwashing Station,,
-118.246261,34.042831,6th street and San Julian,LAHSA Handwashing Station,,
-118.233543,34.02621,Lemon St and E. Olympic,LAHSA Handwashing Station,,
-118.424585,34.274859,Paxton Street & Bradley Avenue,LAHSA Handwashing Station,,
-118.465872,34.305626,12910 San Fernando Rd,LAHSA Handwashing Station,,
-118.387963,34.273201,Foothill Boulevard & Gladstone Avenue,LAHSA Handwashing Station,,
-118.337176,34.265447,Sharon Avenue & West Bengal Street,LAHSA Handwashing Station,,
-118.270719,34.121118,LA River Bike Path at Los Feliz,LAHSA Handwashing Station,,
-118.421648,34.246498,Remick Avenue & Sunburst Street,LAHSA Handwashing Station,,
-118.322308,34.094183,North Gower Street,LAHSA Handwashing Station,3/26/2020: No station,
-118.285117,34.022352,University of Southern California,LAHSA Handwashing Station,,
-118.273176,34.074669,Coronado St. and the 101 Fwy underpass,LAHSA Handwashing Station,,
-118.329495,34.096168,Cahuenga Boulevard & De Longpre Avenue,LAHSA Handwashing Station,"4/14/2020:: Reporting that the handwashing station that is supposed to be at Cahuenga & De Longpre, per the LAHSA map, does not exist..<br>There is a large encampment right by there, so it is needed. Also needed at Sunset & El Centro. ",
-118.228882,34.04792,Myers St at First St Bridge,LAHSA Handwashing Station,,
-118.273375,34.082956,Sunset Boulevard & Silver Lake Boulevard,LAHSA Handwashing Station,,
-118.289965,34.067038,West 4th Street & Shatto Place,LAHSA Handwashing Station,,
-118.241504,33.795677,Drumm Avenue & East Q Street,LAHSA Handwashing Station,,
-118.16549,34.0785,5488 Alhambra Ave,LAHSA Handwashing Station,,
-118.221515,34.066047,651 S Clover St,LAHSA Handwashing Station,,
-118.227063,34.1447,2900 W Broadway (2 underpass),LAHSA Handwashing Station,,
-118.275878,34.046555,West 12th Street & South Union Avenue,LAHSA Handwashing Station,,
-118.186984,34.140323,7476 N Figueroa (134 Fwy underpass),LAHSA Handwashing Station,,
-118.225311,34.089555,2630 Pepper Ave,LAHSA Handwashing Station,Cypress Park Recreation Center,
-118.18791,34.113316,6150 Piedmont Ave,LAHSA Handwashing Station,Highland Park Recreation Center,
-118.20326,34.095757,4545 Homer St,LAHSA Handwashing Station,Montecito Heights Recreation Center,
-118.319575,34.103043,Carlos and Tamarind,LAHSA Handwashing Station,3/26/2020: 1 station; one week old; refilled yesterday; resident said it's serviced almost every day; no porta potties,
-118.233493,34.11595,3650 Verdugo Rd,LAHSA Handwashing Station,Glassell Park Recreation Center,
-118.553533,34.201165,Tampa Avenue & Sherman Way,LAHSA Handwashing Station,,
-118.536055,34.193862,Vanowen Street & Reseda Boulevard,LAHSA Handwashing Station,,
-118.592855,34.200992,Sherman Way & Variel Avenue,LAHSA Handwashing Station,,
-118.273358,34.052859,West 8th Street & Beacon Avenue,LAHSA Handwashing Station,,
-118.588471,34.195891,De Soto Avenue & Bassett Street,LAHSA Handwashing Station,,
-118.597503,34.1956,Canoga Avenue & Bassett Street,LAHSA Handwashing Station,,
-118.601558,34.195592,Owensmouth Avenue & Bassett Street,LAHSA Handwashing Station,,
-118.61469,34.201013,Sherman Way & Shoup Avenue,LAHSA Handwashing Station,3/22/2020: Station is missing,
-118.536005,34.169814,Clark Street & Reseda Boulevard,LAHSA Handwashing Station,,
-118.25425,33.933125,East 112th Street & South Central Avenue,LAHSA Handwashing Station,,
-118.465253,33.987264,500 Venice Blvd,LAHSA Handwashing Station,,
-118.373165,34.076041,Beverly and Orlando,LAHSA Handwashing Station,3/22/2020 - Beverly and Orlando,
-118.459842,33.990577,Venice Boulevard & Electric Avenue,LAHSA Handwashing Station,,
-118.418973,34.01203,Venice and Globe,LAHSA Handwashing Station,,
-118.430518,34.003937,Grand View and Pacific,LAHSA Handwashing Station,,
-118.417902,33.959528,7166 Manchester Ave,LAHSA Handwashing Station,,
-118.562197,34.173503,Corbin Avenue & 101 FWY Underpass,LAHSA Handwashing Station,,
-118.412621,33.953747,Westchester Parkway,LAHSA Handwashing Station,,
-118.553452,34.173564,Tampa Avenue & 101 FWY Underpass,LAHSA Handwashing Station,,
-118.476084,33.997001,Rose Avenue & 3rd Avenue,LAHSA Handwashing Station,"3/26/2020: Handwashing station up, no data on water",
-118.474531,33.996743,313 4th Ave,LAHSA Handwashing Station,,
-118.57094,34.172007,Winnetka Avenue & 101 FWY Underpass,LAHSA Handwashing Station,,
-118.291491,33.989128,Vermont-Slauson,LAHSA Handwashing Station,,
-118.43346,34.003635,Venice and Centinela,LAHSA Handwashing Station,,
-118.452892,33.994121,Venice Blvd and Lincoln Blvd,LAHSA Handwashing Station,,
-118.279283,33.96163,Olive and 85 ,LAHSA Handwashing Station,,
-118.256432,33.956533,East 88th Place & South Central Avenue,LAHSA Handwashing Station,,
-118.36436,34.21591,San Fernando Road & Clybourn Avenue,LAHSA Handwashing Station,,
-118.370336,34.201202,Sherman Way & Vineland Avenue,LAHSA Handwashing Station,,
-118.367014,34.15228,Lankershim Boulevard & Riverside Drive,LAHSA Handwashing Station,,
-118.396317,34.154209,Laurel Canyon / Ventura Freeway,LAHSA Handwashing Station,,
-118.448727,34.157451,Van Nuys Boulevard & Riverside Drive,LAHSA Handwashing Station,at 101 FWY3/292/2020: operational,
-118.396446,34.181053,Laurel Canyon and 101 freeway,LAHSA Handwashing Station,,
-118.422521,34.15762,Fulton Avenue & Riverside Drive,LAHSA Handwashing Station,at 101 FWY,
-118.258697,34.025813,Freeway UnderPass - 10 & San Pedro or Olive or Hope,LAHSA Handwashing Station,,
-118.413769,34.156897,Coldwater Canyon / Riverside,LAHSA Handwashing Station,at 101 FWY,
-118.468702,34.178841,15380 Oxnard St,LAHSA Handwashing Station,,
-118.288937,34.077551,340 N Madison Ave,LAHSA Handwashing Station,,
-118.345254,34.097917,Sunset Boulevard & North Detroit Street,LAHSA Handwashing Station,"3/26/2020: No soap, in front of the Hollywood library which would normally be the bathroom",
-118.278532,33.961194,8505 S Broadway,LAHSA Handwashing Station,,
-118.344105,34.098012,Sunset & LaBrea,LAHSA Handwashing Station,3/26/2020: No station present,
-118.459503,34.005721,Rose Ave and Penmar Ave,LAHSA Handwashing Station,,
-118.394728,34.028305,Durango Ave and Exposition Blvd,LAHSA Handwashing Station,3/22/2020 - No water; residents hadn't seen anyone from the city,
-118.418928,34.012018,Venice Boulevard & Globe Avenue,LAHSA Handwashing Station,,
-118.350693,34.097911,Sunset Boulevard & North Martel Avenue,LAHSA Handwashing Station,"3/26/2020: ""2 stations; 1 soap no water; 1 totally empty, maybe even never filled once, didn't even have a soap container, let alone an empty one; north side of Sunset; ADA porta potty""",
-118.289902,33.7947,West 253rd Street & McCoy Avenue,LAHSA Handwashing Station,,
-118.46717,34.265949,Sepulveda Blvd @ 118 Frwy,LAHSA Handwashing Station,,
-118.383255,34.226191,11545 Tuxford St,LAHSA Handwashing Station,,
-118.245907,34.049543,East 3rd Street & South Main Street,LAHSA Handwashing Station,"3/26/2020: Has water, not certain if has soap. This location also has restrooms; 3/31/2020: There was a port-a-potty next to the handwashing station that was in desperate need of service.",
-118.279161,34.013103,Hill and 39th street,LAHSA Handwashing Station,,
-118.308911,34.024651,West 35th Street & South Western Avenue,LAHSA Handwashing Station,,
-118.337539,34.105189,North Highland Avenue & Franklin Avenue,LAHSA Handwashing Station,"3/26/2020: 1 station; resident unaware how long it had been there; isn't being served; east of Highland, north side of Franklin, in front of Starbucks parking lot",
-118.33528,34.096172,North Cherokee Avenue & De Longpre Avenue,LAHSA Handwashing Station,3/26/2020: 1 station; outside of bridge zone; residents further north on Cherokee within bridge zone; next to park which is locked,
-118.275758,34.02096,Grand and 33rd street,LAHSA Handwashing Station,,
-118.265192,34.003853,Vernon Ave and Avalon Blvd,LAHSA Handwashing Station,,
-118.337454,34.088929,1000 N McCadden Pl,LAHSA Handwashing Station,3/22/2020 - 1 station; soaps full; water working; no unhoused people visible but likely will serve encampment on Highland; took photo,
-118.280003,33.993283,Grand and 54th,LAHSA Handwashing Station,,
-118.343477,34.094342,7061 Fountain Ave,LAHSA Handwashing Station,"3/26/2020: 1 station; east of La Brea, north side of Fountain; no residents in immediate area",
-118.337447,34.087102,Willoughby Avenue & North McCadden Place,LAHSA Handwashing Station,3/22/2020 - 1 station; full soap and water working; took photo; one block away from Highland & Willoughby station,
-118.367014,34.15228,Lankershim Boulevard & Riverside Drive,LAHSA Handwashing Station,3/26/2020: Someone servicing the station said that they should be serviced twice a week,
-118.242865,34.016809,Long Beach Ave and 22nd St,LAHSA Handwashing Station,,
-118.373462,34.150395,Moorpark and 101 FWY,LAHSA Handwashing Station,3/26/2020: operational,
-118.370329,34.153156,Vineland and 134 FWY,LAHSA Handwashing Station,Underpass; 3/26/2020: Operational,
-118.280996,33.993306,Flower and 54th,LAHSA Handwashing Station,,
-118.291422,33.975505,71st and Vermont,LAHSA Handwashing Station,,
-118.25644,33.982048,Gage and Central,LAHSA Handwashing Station,,
-118.330714,34.107842,Point 62,LAHSA Handwashing Station,3/26/2020: 1 station; 1 porta potty,
-118.27342,34.052883,800 Beacon St.,LAHSA Handwashing Station,,
-118.248689,34.064224,Custer Avenue,LAHSA Handwashing Station,,
-118.338608,34.087099,North Highland Avenue & Willoughby Avenue,LAHSA Handwashing Station,3/22/2020 - 1 station; works and soaps full; encampment around corner on Highland; took photo,
-118.308645,34.014382,3900 S. Western Ave ,LAHSA Handwashing Station,,
-118.25183,34.064272,Victor St between Temple St and Dead End.,LAHSA Handwashing Station,,
-118.308639,34.013903,3916 S Western Ave,LAHSA Handwashing Station,,
-118.345136,34.063173,654 S Detroit St,LAHSA Handwashing Station,3/22/2020 - 1 station; water works; plenty of soap; literally saw zero unhoused people around; took photo,
-118.257336,34.059538,West 2nd Street & Emerald Street,LAHSA Handwashing Station,,
-118.310522,33.94617,9651 S Western,LAHSA Handwashing Station,,
-118.330436,33.989341,5760 Crenshaw,LAHSA Handwashing Station,,
-118.245662,34.070995,Stadium Way & Lilac Terrace,LAHSA Handwashing Station,,
-118.336561,34.013424,3650 W Martin Luther King Jr Blvd,LAHSA Handwashing Station,,
-118.308883,34.003786,Vernon/Western (NE),LAHSA Handwashing Station,,
-118.305144,34.010592,1546 W Martin Luther King Jr.,LAHSA Handwashing Station,,
-118.31332,34.052837,West 10th Street & South Gramercy Place,LAHSA Handwashing Station,,
-118.311256,33.959895,Manchester/St Andrews Pl (SW),LAHSA Handwashing Station,,
-118.314265,34.054441,South Wilton Place & San Marino Street,LAHSA Handwashing Station,,
-118.291406,33.97366,Vermont/73rd st (NE),LAHSA Handwashing Station,,
-118.287649,34.098878,4503 Hollywood Blvd,LAHSA Handwashing Station,,
-118.311494,33.985226,West 60th Street & Saint Andrews Place,LAHSA Handwashing Station,,
-118.313454,33.983375,West 62nd Street & South Gramercy Place,LAHSA Handwashing Station,,
-118.288532,34.099985,Lyman Place & Clayton Avenue,LAHSA Handwashing Station,,
-118.308443,34.018283,Expo / Western Station,LAHSA Handwashing Station,,
-118.291481,34.032702,Vermont/Adams (SE),LAHSA Handwashing Station,,
-118.291686,34.101947,Vermont Ave & Prospect Ave,LAHSA Handwashing Station,,
-118.244632,34.06125,North Bunker Hill Avenue & West Cesar Estrada Chavez Avenue,LAHSA Handwashing Station,,
-118.291664,34.010915,Vermont/ MLK Blvd (NW),LAHSA Handwashing Station,,
-118.313222,33.993134,1950 W 54th St (Chesterfield Square Park),LAHSA Handwashing Station,,
-118.286588,33.95724,8800 S. Hoover (Algin Sutton Park),LAHSA Handwashing Station,,
-118.290636,33.946084,9900 S. Vermont ,LAHSA Handwashing Station,,
-118.335036,33.976809,6800 West Blvd,LAHSA Handwashing Station,,
-118.287772,33.976265,830 w. 70th St,LAHSA Handwashing Station,,
-118.318294,33.974805,2205 W. Florence,LAHSA Handwashing Station,,
-118.308967,34.011886,1700 Browning Blvd,LAHSA Handwashing Station,,
-118.331988,34.003238,4401 Crenshaw Blvd,LAHSA Handwashing Station,,
-118.303103,34.030055,2717 S. Halldale,LAHSA Handwashing Station,,
-118.277918,33.957337,8770 S. Broadway,LAHSA Handwashing Station,,
-118.311143,33.981817,Gage/St Andrews,LAHSA Handwashing Station,,
-118.296449,34.036335,Budlong/22nd,LAHSA Handwashing Station,,
-118.274281,33.938773,145 W. 108th St,LAHSA Handwashing Station,,
-118.291554,33.989144,Vermont/Slauson,LAHSA Handwashing Station,,
-118.256474,33.98933,Central/Slauson,LAHSA Handwashing Station,,
-118.249313,33.928224,11645 Success (105 Fwy underpass),LAHSA Handwashing Station,,
-118.30984,33.98914,1800 W Slauson (Shopping center) 2 stations,LAHSA Handwashing Station,,
-118.286764,34.077736,Point 221,LAHSA Handwashing Station,,
-118.271772,34.022264,West 30th Street & South Broadway,LAHSA Handwashing Station,Broadway Corridor - Between 30th and 38th Street,
-118.422879,33.982198,Ballona Creek McConnell Entrance ,LAHSA Handwashing Station,,
-118.284412,34.077455,Hoover and 101,LAHSA Handwashing Station,3/25/2020: No water and no soap,
-118.2404653,34.0554661,"Arcadia and Main St, Overpass",LAHSA Handwashing Station,"3/24/2020: ""both are empty of water. Residents say they’ve been empty for days. Meanwhile the restrooms at grand park are now locked up 24/7 leaving the first street encampment with nowhere to wash. They do not have a hand wash station either.""",
-118.5703097,34.2382149,9220 Winnetka Ave,LAHSA Handwashing Station,"Community report of LAHSA station. Has water, soap unknown ""on Winnetka between Prairie and Nordhoff where on the east side of Winnetka, but the 20+ folks on the other side have to cross 4 lanes of traffic to use it.""",
-118.603967,34.2427139,Jordan Avenue & Plummer Street,LAHSA Handwashing Station,Community report of LAHSA handwashing station,
-118.590634,34.200987,Sherman Way & Independence Avenue,LAHSA Handwashing Station,3/22/2020: Station is missing,
-118.5702413,34.2350804,9060 Winnetka Ave,LAHSA Handwashing Station,"<img src=""https://doc-0g-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/tv24pb67cul5s2jaa7f53s2qho/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vbWmpnlhhgdObUMWzWW-VRqAgGsba5h0oDR_aAP_RLwxNKFOrmytINrxz_zeQt1Oqm9vIaq5y6QLU09aKSmMKUr1SGvQdje-fAQd_SeHxy5SfFTWcDA9-DWAz1OBWHZf19NUBHSQAE8sTdx9vQ-3Sv9MPYbIvvW1iFRJ1e4EQzQhsY063oRNJ1l04OnVowXeyI?session=0&fife"" height=""200"" width=""auto"" /><br><br>3/26/2020:",https://doc-0g-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/tv24pb67cul5s2jaa7f53s2qho/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vbWmpnlhhgdObUMWzWW-VRqAgGsba5h0oDR_aAP_RLwxNKFOrmytINrxz_zeQt1Oqm9vIaq5y6QLU09aKSmMKUr1SGvQdje-fAQd_SeHxy5SfFTWcDA9-DWAz1OBWHZf19NUBHSQAE8sTdx9vQ-3Sv9MPYbIvvW1iFRJ1e4EQzQhsY063oRNJ1l04OnVowXeyI?session=0&fife
